Orthogroup,Leersia_perrieri,Oryza_barthii,Oryza_brachyantha,Oryza_glaberrima,Oryza_glumaepatula,Oryza_meridionalis,Oryza_nivara,Oryza_punctata,Oryza_rufipogon,Oryza_sativa_IR8,Oryza_sativa_N22,Oryza_sativa_vg_indica,Oryza_sativa_vg_japonica,Total
OG0003160,4,2,1,1,2,1,3,0,3,5,2,2,2,28
OG0003161,3,3,1,2,3,0,2,2,3,2,2,2,3,28
OG0003162,1,3,2,3,1,1,3,1,2,3,3,3,2,28
OG0003164,2,3,1,3,1,3,3,0,0,3,4,2,3,28
OG0003165,1,1,1,3,1,4,1,4,1,5,4,1,1,28
OG0003166,1,2,0,3,4,3,2,3,2,3,2,1,2,28
OG0003167,2,2,2,2,2,0,1,4,2,4,4,1,2,28
OG0003168,2,1,4,3,2,1,1,4,1,3,3,1,2,28
OG0003169,1,2,1,2,2,2,2,3,4,3,2,2,2,28
OG0003170,1,2,2,2,2,2,2,3,2,3,3,2,2,28
OG0003171,2,3,1,2,3,3,2,1,3,3,2,2,1,28
OG0003172,1,1,2,2,3,1,2,5,1,5,2,1,2,28
OG0003173,1,3,2,3,3,2,4,1,3,1,2,1,2,28
OG0003174,1,1,4,2,3,2,3,2,2,2,2,1,3,28
OG0003175,2,2,1,1,2,1,2,1,2,7,5,1,1,28
OG0003176,3,4,0,1,2,3,3,2,3,2,2,2,1,28
OG0003177,1,1,3,2,3,7,2,1,1,2,3,1,1,28
OG0003178,1,1,1,1,1,1,2,1,6,6,5,1,1,28
OG0003179,2,2,1,2,3,0,2,2,2,5,4,1,2,28
OG0003180,1,4,1,2,2,2,3,1,2,2,3,3,2,28
OG0003181,3,3,2,2,3,2,4,2,2,2,1,1,1,28
OG0003183,1,2,2,2,2,1,1,1,1,6,2,4,3,28
OG0003184,2,2,4,4,1,2,1,1,2,3,3,1,2,28
OG0003185,2,1,1,0,2,3,2,2,2,5,3,1,4,28
OG0003186,1,2,1,3,3,2,2,1,3,3,2,2,3,28
OG0003187,1,2,2,3,1,2,3,3,3,2,2,1,3,28
OG0003188,2,2,3,2,2,1,2,1,4,2,2,3,2,28
OG0003189,1,3,2,4,2,1,2,1,3,2,2,2,3,28
OG0003190,5,1,4,2,2,1,3,2,2,1,1,1,3,28
OG0003191,3,2,1,2,1,0,4,6,1,3,3,1,1,28
OG0003193,1,2,2,3,1,2,5,2,3,2,2,1,2,28
OG0003194,1,1,3,1,0,2,3,3,4,1,4,1,4,28
OG0003195,6,1,1,0,3,3,5,2,1,2,2,1,1,28
OG0003196,1,2,6,0,4,0,4,1,2,2,2,1,3,28
OG0003198,1,2,3,2,3,3,1,2,1,3,3,1,3,28
OG0003199,2,2,2,3,2,1,3,3,4,3,2,1,0,28
OG0003200,3,4,3,1,1,1,1,2,1,6,3,1,1,28
OG0003202,2,2,1,4,2,3,2,2,2,2,2,2,2,28
OG0003203,3,3,1,2,2,3,2,0,3,3,2,2,2,28
OG0003204,1,1,1,1,3,4,4,1,3,4,1,2,2,28
OG0003205,1,2,2,2,2,2,3,3,2,3,2,2,2,28
OG0003206,3,2,2,2,2,2,2,1,2,2,4,2,2,28
OG0003207,2,2,2,2,2,3,2,2,2,3,2,1,3,28
OG0003208,2,1,3,2,3,1,3,2,2,3,3,1,2,28
OG0003209,2,6,1,7,0,2,3,0,2,0,1,0,4,28
OG0003210,1,2,2,2,2,2,2,1,5,3,3,1,2,28
OG0003211,1,1,0,1,2,2,3,4,2,5,2,3,2,28
OG0003212,6,2,2,2,2,1,2,1,2,2,2,2,2,28
OG0003213,3,1,2,1,2,1,1,4,1,5,3,1,3,28
OG0003214,1,3,0,3,3,2,3,1,3,3,2,2,2,28
OG0003215,4,1,7,2,2,0,1,1,2,3,2,1,2,28
OG0003216,2,1,3,1,4,1,2,3,2,4,1,2,2,28
OG0003217,6,1,4,1,2,1,1,1,2,1,2,2,4,28
OG0003218,8,2,2,2,1,0,2,2,2,2,2,1,2,28
OG0003219,3,2,1,2,4,2,2,2,2,3,0,3,2,28
OG0003220,4,1,3,1,1,2,3,2,3,2,2,1,3,28
OG0003221,4,1,5,1,2,2,2,2,1,2,2,1,3,28
OG0003222,2,3,2,3,2,3,2,4,2,1,2,1,1,28
OG0003223,2,2,2,2,3,1,2,3,3,2,2,2,2,28
OG0003224,3,1,4,0,3,0,5,3,1,3,0,1,4,28
OG0003225,2,2,2,2,2,2,3,3,3,1,2,2,2,28
OG0003226,1,3,5,2,5,5,1,0,1,1,1,1,2,28
OG0003227,2,4,1,2,2,2,2,2,2,3,2,2,2,28
OG0003228,3,2,1,0,1,2,2,3,3,2,3,3,3,28
OG0003229,6,2,3,1,0,1,3,1,2,4,1,2,2,28
OG0003230,1,2,3,0,2,3,3,2,3,2,1,2,4,28
OG0003231,1,3,1,3,3,3,3,2,3,2,2,1,1,28
OG0003232,4,2,3,1,2,2,2,3,2,2,1,2,2,28
OG0003233,2,1,2,3,2,7,2,2,2,2,1,1,1,28
OG0003234,1,2,3,2,2,4,1,3,2,2,2,2,2,28
OG0003235,1,4,2,4,4,0,0,3,6,0,0,0,4,28
OG0003236,1,2,1,1,1,1,1,2,3,5,5,1,4,28
OG0003237,1,1,1,1,3,3,2,2,2,6,3,1,2,28
OG0003238,1,2,0,0,1,0,2,2,2,5,6,4,3,28
OG0003239,1,2,4,2,2,3,2,1,2,3,2,2,2,28
OG0003240,1,5,1,3,2,3,1,2,1,3,1,1,4,28
OG0003241,2,4,2,2,2,3,2,2,1,2,1,2,3,28
OG0003242,3,3,5,3,3,0,2,2,2,2,1,1,1,28
OG0003243,1,1,3,1,2,3,3,1,3,3,1,3,3,28
OG0003244,4,2,1,1,2,4,2,2,2,2,1,2,3,28
OG0003245,3,1,2,2,2,1,5,1,2,4,2,1,2,28
OG0003246,2,2,2,2,3,2,2,3,2,2,2,2,2,28
OG0003247,2,2,3,2,3,1,2,2,2,2,2,2,3,28
OG0003248,3,1,3,1,3,1,4,1,2,3,4,1,1,28
OG0003249,3,2,0,0,2,3,3,3,2,2,3,2,3,28
OG0003250,1,2,1,2,2,5,2,1,2,2,2,2,4,28
OG0003252,3,3,4,3,2,4,2,2,1,2,0,0,2,28
OG0003253,2,2,3,2,2,2,2,4,2,0,3,2,2,28
OG0003254,1,2,1,4,1,1,0,2,4,2,4,2,4,28
OG0003255,1,2,1,1,5,5,1,2,2,3,3,1,1,28
OG0003256,1,3,0,1,5,5,3,0,2,2,1,1,4,28
OG0003257,4,1,3,0,1,2,3,2,3,3,2,2,2,28
OG0003258,2,1,1,0,5,1,5,1,2,2,3,1,4,28
OG0003259,1,1,1,4,3,2,2,3,2,3,3,1,2,28
OG0003260,3,6,1,0,1,0,2,2,1,4,4,2,2,28
OG0003261,1,3,0,3,4,3,3,1,3,1,2,2,2,28
OG0003262,1,3,3,2,2,1,2,2,3,3,2,2,2,28
OG0003263,3,2,2,1,2,1,5,1,2,3,3,1,2,28
OG0003264,1,5,2,4,5,0,2,1,2,2,2,1,1,28
OG0003265,3,4,3,0,2,2,1,2,2,3,3,1,2,28
OG0003266,2,2,0,0,5,2,2,2,3,2,2,4,2,28
OG0003267,2,2,2,0,2,2,4,3,2,2,3,1,3,28
OG0003268,4,1,4,0,2,1,2,1,3,3,1,2,4,28
OG0003269,3,3,1,1,1,1,2,5,3,2,2,2,2,28
OG0003270,2,2,0,3,1,3,4,1,1,3,3,2,3,28
OG0003271,3,2,5,1,2,1,2,3,2,2,2,1,2,28
OG0003272,1,2,2,2,1,4,4,2,3,1,2,1,3,28
OG0003273,1,2,1,2,2,4,3,2,2,2,3,2,2,28
OG0003274,1,2,3,2,2,1,2,1,3,3,5,1,2,28
OG0003275,4,2,2,2,1,4,2,3,2,2,1,1,2,28
OG0003276,3,3,3,1,4,4,3,0,1,2,1,1,2,28
OG0003277,1,2,1,2,2,2,3,2,3,2,2,2,4,28
OG0003278,2,1,1,3,3,0,3,2,3,2,2,4,2,28
OG0003279,5,2,2,1,2,3,1,1,2,2,2,1,4,28
OG0003280,3,1,2,1,4,3,1,3,3,2,1,2,2,28
OG0003281,2,2,1,1,2,1,3,4,3,2,4,1,2,28
OG0003282,2,2,0,1,2,1,3,2,2,4,3,4,2,28
OG0003283,3,0,3,3,2,3,2,3,3,1,1,1,3,28
OG0003284,1,2,2,2,1,5,1,2,2,2,3,3,2,28
OG0003285,1,1,2,3,0,4,3,2,4,2,0,2,4,28
OG0003286,2,1,1,2,2,1,4,2,3,2,4,2,2,28
OG0003287,4,2,1,3,3,1,3,1,1,2,4,1,2,28
OG0003288,2,2,2,2,1,1,1,0,3,5,3,2,4,28
OG0003289,2,0,4,1,2,4,2,2,4,2,0,2,3,28
OG0003325,1,1,2,2,5,2,2,4,1,2,2,1,2,27
OG0003326,5,1,4,1,1,3,1,2,1,3,3,1,1,27
OG0003327,2,1,1,1,1,4,4,2,2,1,3,1,4,27
OG0003328,3,4,1,2,1,3,1,2,1,5,0,2,2,27
OG0003329,1,2,1,2,2,2,3,0,2,2,4,3,3,27
OG0003330,2,2,0,2,3,2,2,3,2,3,2,2,2,27
OG0003333,1,4,3,0,3,1,5,1,1,3,2,2,1,27
OG0003334,1,2,1,1,0,5,2,1,4,3,4,1,2,27
OG0003335,2,2,3,1,2,3,1,2,3,2,2,2,2,27
OG0003336,1,2,1,0,0,2,3,3,2,3,3,4,3,27
OG0003337,3,2,2,1,4,4,2,2,2,2,0,1,2,27
OG0003338,1,2,1,2,2,2,3,1,3,2,2,3,3,27
OG0003339,1,1,4,2,2,2,2,3,2,2,2,2,2,27
OG0003340,1,2,1,2,3,3,4,1,2,2,1,3,2,27
OG0003342,3,1,1,2,2,3,2,2,2,2,2,2,3,27
OG0003343,5,2,0,3,3,1,2,3,2,2,0,2,2,27
OG0003344,2,2,2,0,1,3,4,2,2,2,3,2,2,27
OG0003345,2,2,1,2,3,3,3,2,2,2,1,2,2,27
OG0003347,1,1,3,0,2,3,3,3,2,4,0,2,3,27
OG0003348,2,3,2,2,2,2,1,2,2,3,2,2,2,27
OG0003349,1,3,1,3,2,1,2,1,3,3,3,2,2,27
OG0003350,2,2,3,2,3,2,1,1,2,1,2,2,4,27
OG0003351,3,1,3,1,0,5,2,2,2,3,1,2,2,27
OG0003352,2,2,2,1,2,2,2,2,2,1,5,2,2,27
OG0003353,3,2,1,1,2,5,3,1,1,2,3,1,2,27
OG0003354,1,2,1,1,2,3,2,3,2,5,3,1,1,27
OG0003355,2,2,1,2,2,2,5,2,2,1,1,2,3,27
OG0003356,2,2,2,2,2,3,2,2,2,2,2,2,2,27
OG0003357,5,1,2,1,2,3,3,2,1,2,2,1,2,27
OG0003358,1,2,1,1,7,1,2,2,2,2,2,2,2,27
OG0003359,2,1,1,2,3,2,2,1,2,4,3,1,3,27
OG0003360,1,3,0,3,4,3,2,1,2,1,1,3,3,27
OG0003361,3,1,3,1,3,4,1,1,1,4,3,1,1,27
OG0003362,1,2,4,1,2,3,2,1,2,3,3,1,2,27
OG0003363,2,2,1,2,2,1,2,2,2,3,3,2,3,27
OG0003364,2,2,3,2,2,1,2,1,2,3,3,2,2,27
OG0003365,1,3,1,3,3,1,3,3,3,1,1,1,3,27
OG0003366,1,1,1,4,1,2,1,1,2,3,3,2,5,27
OG0003367,2,2,2,2,2,2,2,2,2,2,3,2,2,27
OG0003368,1,4,1,2,2,2,2,2,2,5,1,1,2,27
