λ_1,λ_2,λ_3,λ_4,λ_5,λ_6,λ_7,λ_8,λ_9,λ_10,λ_11,λ_12,λ_13,μ_1,μ_2,μ_3,μ_4,μ_5,μ_6,μ_7,μ_8,μ_9,μ_10,μ_11,μ_12,μ_13,q_1,q_2,q_3,q_4,q_5,η
-0.5852763467160156,0.03870021737333139,-1.1975785658065559,-0.510025146048566,-0.26399893481620407,-0.42623342106680384,-0.24993984372465738,-1.5203450847005995,-0.43033884632641956,-1.5862184048032804,-0.7425126893800362,-0.20145655262758566,0.8094884725609478,-0.4764553740621263,-1.408127566315411,-0.07980988431139524,-0.6308701314008011,-0.04821222708675915,-0.2727971194593982,0.014677718023415087,-0.2811435014260033,0.2982183326061876,-0.43987146001443733,-0.5461843194986978,-0.6370197380961424,-0.3490539363452927,0.009474456900375827,0.26682058057348534,0.0015879275140830765,0.10195670725724898,0.00884583412152634,0.9182146007681098
-0.4102077304484144,-0.012913735130418845,-1.2084114938493633,-0.5957366365599102,-0.13942961087129568,-0.2386081095100655,-0.6661180255395863,-0.6032192942281133,-0.46024680942459234,-1.6048787383333352,-0.42293739275056424,-1.538268480892216,-1.8691548445840966,0.06803839818309869,-2.0291570455152654,-0.22358839637961667,-0.5555811220198459,-0.11581487881992653,-0.1407978386269111,-0.123390535208082,-0.2645406987292589,0.37462950695695457,-0.9303931704835839,-1.1946076719483543,-0.13368943943292366,0.027588124983001616,0.005245185819255988,0.2409133120714787,0.005230161120667568,0.09433226541462435,2.9492592539489515e-5,0.9037205223060933
-0.43177830555708846,0.02632627977468788,-0.8258496245373419,-0.6355055054460506,-0.19545468800355056,-0.33031483835762976,-0.3000935434877801,-0.817958083011097,-0.24357962520311716,-1.072534222938062,-0.6124150988900248,-0.30713071234263545,-1.225796440616141,-0.4747351339749098,-1.2874843359759909,-0.2775122903464114,-0.6196320589125067,-0.17718693891791293,-0.29143060682925603,0.03352404217726407,0.12969276233199883,0.2730984036129436,-0.9901284463559731,-0.4878882303686745,-1.3307207436405364,-0.5794798326173265,0.0038195207823060297,0.2373496470763591,0.0003439279483285729,0.08370759569385794,0.01008501981834861,0.8990540468786216
-0.42423593182413105,0.06888657906624017,-1.1992025317016437,-0.5788678586689772,-0.3281880483586011,-0.3796948095493024,-0.5311496669573338,-0.8797944043582613,-0.15544843562306665,-0.9771734784289292,-0.3165822424452155,-1.1981322040057725,0.010390392949535782,0.0087754607225397,-1.6379932024388,-0.09769252015279124,-0.7153897137487453,-0.015278047307485498,-0.12106774529821929,0.0009473251817247105,-0.5955196760480747,0.44873149025248144,-0.550655064076344,-0.9660792306108588,-1.1863618203060702,1.2361995596904738,0.006113309257726996,0.2471719748172107,0.0001991306616485609,0.08118870276993032,0.00014303945878690468,0.9105424825724707
-0.5703557265437696,-0.07806137342151945,-1.0607964123490894,-0.5457180563893271,-0.0846118195391548,-0.33602873043240317,-0.42466517944372695,-1.1340349879857308,0.11268607918667344,-1.7464081330314873,-0.8372544915358936,-0.30559101280294054,-1.0527856139348708,-0.1202969179056111,-1.53575912579055,-0.19122657621356762,-0.533450188051686,-0.034495717022238796,-0.2874051315202326,-0.07307738565920513,-0.8084295811828932,0.5155849747133705,-1.2959249184992019,-0.6169437760045424,0.882080099022537,-0.01741631521058573,0.020086976759858616,0.27324393019786186,0.005808969983432562,0.02607940623753192,0.00425689195232938,0.8888005518125175
-0.37686916327745895,0.12792152559467573,-1.1012907616785301,-0.5932556990797085,-0.15761549054745858,-0.43754287310926715,-0.5200093955004348,-1.055465309648606,0.38198237068111063,-0.8212980783988958,-0.47944081195164867,-0.9555960732998424,-0.5534031514996912,-0.28863205864602687,-1.6751008085422583,-0.18530015139695008,-0.6933247633421391,0.08938019672580483,-0.19267473114793962,-0.04615416132398953,0.1908358640827889,0.32248807956268016,-0.7569379385230391,-0.9037663649986607,0.4151362517658738,-0.8433421420737865,0.005060420036180539,0.23482502564888802,0.0018166093835586638,0.025950828670881103,0.0009057417777799927,0.9024552713306012
-0.45888533488732497,0.04201020068599222,-0.9988390422901231,-0.6234784541643968,-0.1442630673463454,-0.5369930026262418,-0.39272623267124857,-1.1636219438097088,0.30405032196476617,-1.879598445722969,-0.744154740600812,-1.0581822573859272,-0.3612118225481303,-0.09894855028067143,-1.4748896692320457,-0.16996927971035594,-0.7045157265705095,0.12635975354556442,-0.32081993215263577,-0.09147044529949683,-1.2386299286735003,0.38841900432552084,-0.18562756208137637,-0.5990764646397134,0.30748613912451006,-0.1247418919565203,0.02859537204533944,0.27725426069678766,0.005655507348549562,0.009293267414897626,0.0008396678567101083,0.9061400299954528
-0.3801278492706684,0.0296464781560826,-1.1674910295911614,-0.4985665186400369,-0.5320452655193154,-0.23890768461426282,-0.4776011785679848,-1.704033030572705,0.49595293349599934,-1.5252577399293854,-0.14089526448800482,-0.9400620619868276,-0.6244361392799798,-0.12248591889644908,-1.7206242536439225,-0.06542530695218454,-0.5427953000311192,-0.1711344256573907,-0.3136022622373086,0.0068121429563707545,-1.743785150781144,0.5218049583192486,-0.39291009793708254,-0.9336224501184887,-0.2495179398991153,-0.6660046949723681,0.012819144738715468,0.23623979234250955,0.004801587506695881,0.013935355883289815,0.0011600978083985852,0.9138853681122321
-0.34698657475070754,0.10211302677663282,-1.2320270007473164,-0.5166424728103084,-0.3686988601662079,-0.226988614267335,-0.3774413126854904,-0.9190616671235103,0.388518101288155,-0.9821050537852427,-0.18479875942096097,-1.101917612652334,-1.0258391526280397,0.13800427472801396,-1.7307958063753774,-0.1022943875116529,-0.8063636944541607,-0.009801494768298648,-0.02759466242900349,-0.0715540655211022,0.19545250811479153,0.36525320295586766,-0.4556954774227877,-1.0101979314843,0.8798588579786067,-0.855615953004238,0.004147680643665158,0.2229938528771266,0.0024387061492013792,0.009042130862023046,0.0009904952970467905,0.9120250763362382
-0.3799563017929465,0.0034742701991651477,-1.0303479676012506,-0.7814729648931699,-0.06327974120996051,-0.4326795236280025,-0.3851133291532953,-1.2975248225746006,0.34025342746002407,-1.821214016958936,-0.6209268690559266,-0.756448362282103,1.4022544884855024,-0.45401674033733985,-1.4128355964012551,-0.17857552182610195,-0.46911471685082545,-0.13972234664096117,-0.4024578496837204,-0.08480281296383982,-1.0560155595509746,0.5217209662350768,-1.1097920745779897,-0.502064191896972,-0.6365732993497466,0.7746568421445961,0.02193858913652743,0.2710157943965227,0.003986732931026999,0.015729703091934624,0.0004326119043187963,0.896710021704764
