ath,bvu,cpa,cqu,mtr,ptr,sly,ugi,vvi
32,99,2,2,0,1,1,1,15
0,0,2,0,1,1,1,1,0
35,0,2,0,1,1,1,3,14
0,65,0,6,5,2,0,1,0
30,221,2,2,4,1,1,1,14
137,0,2,1,0,1,1,1,0
30,78,1,1,0,1,1,1,0
14,54,3,3,0,2,1,1,4
8,12,1,1,2,2,0,1,13
133,26,2,0,2,1,1,1,0
0,12,0,1,1,1,0,1,0
477,0,3,0,1,1,0,1,0
59,161,1,0,2,1,1,1,2
246,15,4,3,3,1,2,2,8
21,0,1,1,1,1,1,1,35
3,0,1,2,1,2,1,1,17
229,0,3,0,2,1,1,1,0
61,124,1,3,2,1,1,1,0
0,15,0,1,1,1,0,1,70
0,90,0,2,3,2,2,1,47
174,0,1,1,1,1,1,1,20
489,0,4,4,1,1,1,1,0
267,170,4,4,3,2,0,2,12
175,98,5,1,1,1,1,1,11
0,15,1,1,0,0,0,0,53
200,0,0,0,0,0,1,1,0
202,24,5,1,1,0,1,1,0
0,26,1,0,1,1,2,2,0
13,193,1,0,0,1,1,1,0
0,11,0,1,1,1,1,1,0
323,0,2,2,2,1,1,1,21
0,0,0,1,0,0,1,1,27
132,0,3,0,0,1,1,1,0
10,9,1,0,0,1,1,1,0
0,86,0,1,1,1,2,2,5
200,154,7,2,1,2,1,1,15
178,18,2,1,0,1,2,1,24
116,10,1,8,1,1,1,1,20
273,0,6,1,1,1,1,1,0
232,74,6,3,1,2,0,1,2
164,61,2,3,1,0,1,1,4
190,73,4,6,4,4,4,4,41
299,15,3,1,2,1,1,1,4
0,18,0,1,1,1,1,1,34
0,0,2,1,0,1,1,1,3
275,0,4,2,1,1,0,1,25
